date,ticker,name,total_score
2026-07-16,1303,南亞,80.0
2026-07-16,1439,良維,60.0
2026-07-16,1711,永光,60.0
2026-07-16,1773,勝一,60.0
2026-07-16,1785,光洋科,5.0
2026-07-16,1802,台玻,20.0
2026-07-16,1809,中釉,20.0
2026-07-16,1815,富喬,5.0
2026-07-16,2049,上銀,70.0
2026-07-16,2059,川湖,90.0
2026-07-16,2233,宇隆,15.0
2026-07-16,2301,光寶科,70.0
2026-07-16,2303,聯電,55.0
2026-07-16,2308,台達電,45.0
2026-07-16,2313,華通,45.0
2026-07-16,2317,鴻海,50.0
2026-07-16,2327,國巨,20.0
2026-07-16,2328,廣宇,30.0
2026-07-16,2330,台積電,65.0
2026-07-16,2332,友訊,55.0
2026-07-16,2337,旺宏,40.0
2026-07-16,2344,華邦電,35.0
2026-07-16,2345,智邦,25.0
2026-07-16,2356,英業達,15.0
2026-07-16,2357,華碩,40.0
2026-07-16,2359,所羅門,70.0
2026-07-16,2360,致茂,40.0
2026-07-16,2368,金像電,20.0
2026-07-16,2376,技嘉,40.0
2026-07-16,2377,微星,55.0
2026-07-16,2379,瑞昱,35.0
2026-07-16,2382,廣達,20.0
2026-07-16,2383,台光電,35.0
2026-07-16,2404,漢唐,60.0
2026-07-16,2408,南亞科,50.0
2026-07-16,2441,超豐,70.0
2026-07-16,2454,聯發科,20.0
2026-07-16,2455,全新,15.0
2026-07-16,2467,志聖,65.0
2026-07-16,2472,立隆電,30.0
2026-07-16,2481,強茂,45.0
2026-07-16,2492,華新科,20.0
2026-07-16,2493,揚博,30.0
2026-07-16,2603,長榮,40.0
2026-07-16,2605,新興,50.0
2026-07-16,2606,裕民,55.0
2026-07-16,2609,陽明,25.0
2026-07-16,2615,萬海,55.0
2026-07-16,2637,慧洋-KY,75.0
2026-07-16,3006,晶豪科,30.0
2026-07-16,3008,大立光,45.0
2026-07-16,3017,奇鋐,35.0
2026-07-16,3026,禾伸堂,20.0
2026-07-16,3034,聯詠,35.0
2026-07-16,3037,欣興,40.0
2026-07-16,3042,晶技,30.0
2026-07-16,3055,蔚華科,60.0
2026-07-16,3081,聯亞,20.0
2026-07-16,3090,日電貿,20.0
2026-07-16,3131,弘塑,55.0
2026-07-16,3163,波若威,5.0
2026-07-16,3189,景碩,60.0
2026-07-16,3211,順達,30.0
2026-07-16,3231,緯創,35.0
2026-07-16,3324,雙鴻,40.0
2026-07-16,3362,先進光,25.0
2026-07-16,3363,上詮,20.0
