date,market,industry,change_pct
2026-07-13,上市,塑膠工業,8.92
2026-07-13,上市,綠能環保業,3.25
2026-07-13,上櫃,鋼鐵工業,1.28
2026-07-13,上櫃,農業科技業,0.26
2026-07-13,上櫃,建材營造,0.20
2026-07-14,上市,塑膠工業,4.56
2026-07-14,上市,貿易百貨,0.89
2026-07-14,上櫃,鋼鐵工業,0.47
2026-07-14,上櫃,農業科技業,0.05
2026-07-15,上市,生技醫療業,5.84
2026-07-15,上櫃,其他電子業,3.85
2026-07-15,上櫃,數位雲端業,3.57
2026-07-15,上櫃,化學工業,3.29
2026-07-16,上市,綠能環保業,1.87
2026-07-16,上市,運動休閒業,1.64
2026-07-16,上櫃,運動休閒業,1.13
2026-07-16,上櫃,數位雲端業,0.89
2026-07-16,上櫃,觀光餐旅,0.40
2026-07-17,上市,油電燃氣業,1.12
2026-07-17,上市,食品工業,0.27
2026-07-17,上市,居家生活業,-0.25
2026-07-17,上櫃,居家生活業,-0.95
2026-07-17,上櫃,紡織纖維,-1.03
