date,whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
2026-07-09,大戶B,1303,南亞,現股,80000,139.00,146.00,11135846,11680000,492470,4.42
2026-07-09,大戶B,1802,台玻,現股,100000,72.50,66.40,7260331,6640000,-649713,-8.95
2026-07-09,大戶B,2303,聯電,現股,150000,144.00,163.00,21630780,24450000,2711029,12.53
2026-07-09,大戶B,2308,台達電,現股,6000,2190.00,1925.00,13158724,11550000,-1659832,-12.61
2026-07-09,大戶B,2327,國巨,現股,32000,640.63,1005.00,20529212,32160000,11488480,55.96
2026-07-09,大戶B,2404,漢唐,現股,15000,1153.33,1395.00,17324652,20925000,3507755,20.25
2026-07-09,大戶B,3163,波若威,現股,18000,1163.33,700.00,20969839,12600000,-8425594,-40.18
2026-07-09,大戶B,3211,順達,現股,60000,437.78,405.00,26303927,24300000,-2111454,-8.03
2026-07-09,大戶B,3443,創意,現股,13000,3353.08,4415.00,43652115,57395000,13488913,30.90
2026-07-09,大戶B,3450,聯鈞,現股,30000,539.00,511.00,16193042,15330000,-930877,-5.75
2026-07-09,大戶B,3653,健策,現股,13000,3948.46,3440.00,51403144,44720000,-6881030,-13.39
2026-07-09,大戶B,3665,貿聯-KY,現股,7000,2253.57,1855.00,15797478,12985000,-2869936,-18.17
2026-07-09,大戶B,3675,德微,現股,75000,383.07,357.00,28770940,26775000,-2114419,-7.35
2026-07-09,大戶B,3693,營邦,現股,72000,443.73,483.00,31994025,34776000,2628092,8.21
2026-07-09,大戶B,4542,科嶠,現股,35000,281.50,384.00,9866539,13440000,3513989,35.62
2026-07-09,大戶B,4979,華星光,現股,10000,688.10,448.50,6890804,4485000,-2425650,-35.20
2026-07-09,大戶B,6139,亞翔,現股,18000,784.00,927.00,14132109,16686000,2480056,17.55
2026-07-09,大戶B,6147,頎邦,現股,100000,225.25,211.50,22557097,21150000,-1500685,-6.65
2026-07-09,大戶B,6187,萬潤,現股,13000,1160.00,1065.00,15101489,13845000,-1317753,-8.73
2026-07-09,大戶B,6531,愛普,現股,8000,1185.00,980.00,9493509,7840000,-1688201,-17.78
2026-07-09,大戶B,6691,洋基工程,現股,24000,620.00,816.00,14901204,19584000,4596137,30.84
2026-07-09,大戶B,7734,印能科技,現股,3000,3410.00,3000.00,10244577,9000000,-1284402,-12.54
2026-07-09,大戶B,8996,高力,現股,28000,1229.82,1370.00,34484069,38360000,3706188,10.75
2026-07-09,大戶C,2303,聯電,融資,100000,165.50,164.50,6623723,16450000,-156774,-2.37
2026-07-09,大戶C,2426,鼎元,融資,950000,86.86,78.40,33040651,74480000,-8298849,-25.12
2026-07-09,大戶C,2454,聯發科,融資,20000,3937.00,3925.00,31513711,78500000,-510873,-1.62
2026-07-09,大戶C,2493,揚博,融資,350000,170.08,268.50,26963889,93975000,34131042,126.58
2026-07-09,大戶C,2493,揚博,現股,250000,162.33,268.50,40590629,67125000,26317893,64.84
2026-07-09,大戶C,3443,創意,融資,60000,2597.00,4455.00,62363052,267300000,110582906,177.32
2026-07-09,大戶C,3450,聯鈞,融資,8000,583.00,512.00,2994049,4096000,-582258,-19.45
2026-07-09,大戶C,3450,聯鈞,現股,152000,588.51,512.00,89474115,77824000,-11901097,-13.30
2026-07-09,大戶C,6683,雍智科技,現股,10000,1949.00,1665.00,19494382,16650000,-2898078,-14.87
2026-07-09,大戶C,6683,雍智科技,融資,30000,1833.67,1665.00,22016374,49950000,-5233462,-23.77
2026-07-09,大戶C,8299,群聯,融資,50000,2330.00,2350.00,84944212,117500000,594851,0.70
2026-07-09,大戶C,8299,群聯,現股,40000,2513.75,2350.00,100572622,94000000,-6875772,-6.84
2026-07-09,大戶D,2363,矽統,融資,3000000,58.31,68.60,70060126,205800000,30121589,42.99
2026-07-09,大戶D,3362,先進光,融資,50000,211.00,190.00,4223428,9500000,-1085015,-25.69
2026-07-09,大戶D,4971,IET-KY,融資,100000,174.09,476.50,8712153,47650000,30077411,345.24
2026-07-09,大戶D,4971,IET-KY,現股,700000,92.17,476.50,64539986,333550000,267900961,415.09
2026-07-09,大戶D,7789,開展,現股,150000,19.39,38.11,2908687,5716500,2782518,95.66
2026-07-09,大戶D,7851,慧康生技-KY,現股,167000,3.26,31.00,544879,5177000,4609213,845.91
