year_month,quarter,revenue,gross_profit,op_income,net_income,eps
2026-01,2026Q1,228.438,27.2755,12.4499,48.4321,0.6107
2026-02,2026Q1,185.906,22.1972,10.1319,39.4147,0.497
2026-03,2026Q1,271.656,32.4357,14.8053,57.5949,0.7262
2026-04,2026Q2,276.045,52.2277,37.4869,89.0339,1.1226
2026-05,2026Q2,276.045,52.2277,37.4869,89.0339,1.1226
2026-06,2026Q2,284.41,53.8104,38.6229,91.7319,1.1566
2026-07,2026Q3,305.6253,60.5138,44.3157,107.6177,1.3569
2026-08,2026Q3,300.1839,59.4364,43.5267,105.7017,1.3328
2026-09,2026Q3,301.0908,59.616,43.6582,106.021,1.3368
2026-10,2026Q4,336.336,68.2762,50.4504,118.571,1.495
2026-11,2026Q4,336.336,68.2762,50.4504,118.571,1.495
2026-12,2026Q4,346.528,70.3452,51.9792,122.164,1.5403
2027-01,2027Q1,375.7572,85.6726,65.7575,150.7211,1.9004
2027-02,2027Q1,305.7964,69.7216,53.5144,122.6589,1.5466
2027-03,2027Q1,446.8464,101.881,78.1981,179.2359,2.2599
2027-04,2027Q2,405.9,100.6632,79.1505,169.0524,2.1315
2027-05,2027Q2,405.9,100.6632,79.1505,169.0524,2.1315
2027-06,2027Q2,418.2,103.7136,81.549,174.1752,2.1961
2027-07,2027Q3,444.444,116.8888,93.3332,180.3986,2.2746
2027-08,2027Q3,444.444,116.8888,93.3332,180.3986,2.2746
2027-09,2027Q3,457.912,120.4309,96.1615,185.8652,2.3435
2027-10,2027Q4,499.851,138.9586,112.4665,191.6673,2.4167
2027-11,2027Q4,499.851,138.9586,112.4665,191.6673,2.4167
2027-12,2027Q4,514.998,143.1694,115.8746,197.4754,2.4899
