scenario,quarter,revenue,gross_margin,gross_profit,opex,op_income,op_margin,non_operating,equity_income,pretax,tax_rate,net_income,shares,eps,nonop_dependency,eq_南亞科技,eq_台塑石化
base,2026Q1,686.0,0.1194,81.9084,44.5214,37.387,0.0545,-25.0,135.5321,147.9191,0.2,145.4417,79.31,1.8338,0.76,83.9454,51.5867
base,2026Q2,836.5,0.1892,158.2658,44.6691,113.5967,0.1358,-25.0,198.9224,287.5191,0.2,269.7998,79.31,3.4018,0.6446,146.349,52.5734
base,2026Q3,906.9,0.198,179.5662,48.0657,131.5005,0.145,-25.0,234.14,340.6405,0.2,319.3404,79.31,4.0265,0.6549,183.54,50.6
base,2026Q4,1019.2,0.203,206.8976,54.0176,152.88,0.15,-25.0,257.002,384.882,0.2,359.306,79.31,4.5304,0.6457,206.402,50.6
base,2027Q1,1128.4,0.228,257.2752,59.8052,197.47,0.175,-25.0,314.64,487.11,0.2,452.616,79.31,5.7069,0.6399,264.04,50.6
base,2027Q2,1230.0,0.248,305.04,65.19,239.85,0.195,-25.0,340.4,555.25,0.2,512.28,79.31,6.4592,0.6157,289.8,50.6
base,2027Q3,1346.8,0.263,354.2084,71.3804,282.828,0.21,-25.0,340.4,598.228,0.2,546.6624,79.31,6.8927,0.577,289.8,50.6
base,2027Q4,1514.7,0.278,421.0866,80.2791,340.8075,0.225,-25.0,328.164,643.9715,0.2,580.81,79.31,7.3233,0.522,277.564,50.6
bear,2026Q1,686.0,0.1194,81.9084,44.5214,37.387,0.0545,-25.0,135.5321,147.9191,0.2,145.4417,79.31,1.8338,0.76,83.9454,51.5867
bear,2026Q2,836.5,0.1892,158.2658,44.6691,113.5967,0.1358,-25.0,198.9224,287.5191,0.2,269.7998,79.31,3.4018,0.6446,146.349,52.5734
bear,2026Q3,906.9,0.198,179.5662,48.0657,131.5005,0.145,-25.0,234.14,340.6405,0.2,319.3404,79.31,4.0265,0.6549,183.54,50.6
bear,2026Q4,1019.2,0.203,206.8976,54.0176,152.88,0.15,-25.0,257.002,384.882,0.2,359.306,79.31,4.5304,0.6457,206.402,50.6
bear,2027Q1,1128.4,0.198,223.4232,59.8052,163.618,0.145,-25.0,222.226,360.844,0.2,333.1204,79.31,4.2002,0.5921,171.626,50.6
bear,2027Q2,1230.0,0.218,268.14,65.19,202.95,0.165,-25.0,238.97,416.92,0.2,381.33,79.31,4.8081,0.5611,188.37,50.6
bear,2027Q3,1346.8,0.233,313.8044,71.3804,242.424,0.18,-25.0,238.97,456.394,0.2,412.9092,79.31,5.2063,0.5182,188.37,50.6
bear,2027Q4,1514.7,0.248,375.6456,80.2791,295.3665,0.195,-25.0,231.0166,501.3831,0.2,447.3098,79.31,5.64,0.4606,180.4166,50.6
bull,2026Q1,686.0,0.1194,81.9084,44.5214,37.387,0.0545,-25.0,135.5321,147.9191,0.2,145.4417,79.31,1.8338,0.76,83.9454,51.5867
bull,2026Q2,836.5,0.1892,158.2658,44.6691,113.5967,0.1358,-25.0,198.9224,287.5191,0.2,269.7998,79.31,3.4018,0.6446,146.349,52.5734
bull,2026Q3,906.9,0.198,179.5662,48.0657,131.5005,0.145,-25.0,234.14,340.6405,0.2,319.3404,79.31,4.0265,0.6549,183.54,50.6
bull,2026Q4,1019.2,0.203,206.8976,54.0176,152.88,0.15,-25.0,257.002,384.882,0.2,359.306,79.31,4.5304,0.6457,206.402,50.6
bull,2027Q1,1128.4,0.248,279.8432,59.8052,220.038,0.195,-25.0,380.65,575.688,0.2,536.6804,79.31,6.7669,0.6627,330.05,50.6
bull,2027Q2,1230.0,0.268,329.64,65.19,264.45,0.215,-25.0,412.85,652.3,0.2,604.41,79.31,7.6209,0.6417,362.25,50.6
bull,2027Q3,1346.8,0.283,381.1444,71.3804,309.764,0.23,-25.0,412.85,697.614,0.2,640.6612,79.31,8.0779,0.6054,362.25,50.6
bull,2027Q4,1514.7,0.298,451.3806,80.2791,371.1015,0.245,-25.0,397.555,743.6565,0.2,674.4362,79.31,8.5038,0.5524,346.955,50.6
