year_month,quarter,revenue,gross_profit,op_income,net_income,eps
2026-01,2026Q1,108.7904,32.0061,23.4552,17.5282,4.8907
2026-02,2026Q1,101.8464,29.9632,21.9581,16.4094,4.5785
2026-03,2026Q1,120.0332,35.3138,25.8792,19.3396,5.3961
2026-04,2026Q2,156.0075,52.8085,42.0128,32.5655,9.0864
2026-05,2026Q2,156.0075,52.8085,42.0128,32.5655,9.0864
2026-06,2026Q2,160.735,54.4088,43.2859,33.5523,9.3617
2026-07,2026Q3,192.279,68.7397,56.2416,43.4296,12.1176
2026-08,2026Q3,201.264,71.9519,58.8697,45.459,12.6839
2026-09,2026Q3,205.457,73.4509,60.0962,46.4061,12.9481
2026-10,2026Q4,213.51,77.9312,64.48,49.7767,13.8886
2026-11,2026Q4,213.51,77.9312,64.48,49.7767,13.8886
2026-12,2026Q4,219.98,80.2927,66.434,51.285,14.3094
2027-01,2027Q1,226.314,83.7362,70.1573,54.1482,15.1083
2027-02,2027Q1,226.314,83.7362,70.1573,54.1482,15.1083
2027-03,2027Q1,233.172,86.2736,72.2833,55.7891,15.5661
2027-04,2027Q2,255.717,95.8939,80.5509,62.1512,17.3413
2027-05,2027Q2,255.717,95.8939,80.5509,62.1512,17.3413
2027-06,2027Q2,263.466,98.7998,82.9918,64.0346,17.8668
2027-07,2027Q3,286.407,108.8347,91.6502,70.6977,19.7259
2027-08,2027Q3,286.407,108.8347,91.6502,70.6977,19.7259
2027-09,2027Q3,295.086,112.1327,94.4275,72.8401,20.3237
2027-10,2027Q4,312.18,120.1893,101.4585,78.2501,21.8332
2027-11,2027Q4,312.18,120.1893,101.4585,78.2501,21.8332
2027-12,2027Q4,321.64,123.8314,104.533,80.6213,22.4948
