scenario,quarter,revenue,gross_margin,gross_profit,opex,op_income,op_margin,non_operating,equity_income,pretax,tax_rate,net_income,shares,eps,nonop_dependency
base,2026Q1,330.67,0.2942,97.2831,25.9907,71.2925,0.2156,0.5,0.0,71.7925,0.2579,53.2772,3.584,14.8653,0.0094
base,2026Q2,472.75,0.3385,160.0259,32.7143,127.3116,0.2693,0.5,0.0,127.8116,0.2279,98.6833,3.584,27.5344,0.0051
base,2026Q3,599.0,0.3575,214.1425,38.935,175.2075,0.2925,0.5,0.0,175.7075,0.23,135.2948,3.584,37.7497,0.0037
base,2026Q4,647.0,0.365,236.155,40.761,195.394,0.302,0.5,0.0,195.894,0.23,150.8384,3.584,42.0866,0.0033
base,2027Q1,685.8,0.37,253.746,41.148,212.598,0.31,0.5,0.0,213.098,0.23,164.0855,3.584,45.7828,0.003
base,2027Q2,774.9,0.375,290.5875,46.494,244.0935,0.315,0.5,0.0,244.5935,0.23,188.337,3.584,52.5494,0.0027
base,2027Q3,867.9,0.38,329.802,52.074,277.728,0.32,0.5,0.0,278.228,0.23,214.2356,3.584,59.7755,0.0023
base,2027Q4,946.0,0.385,364.21,56.76,307.45,0.325,0.5,0.0,307.95,0.23,237.1215,3.584,66.1611,0.0021
bear,2026Q1,330.67,0.2942,97.2831,25.9907,71.2925,0.2156,0.5,0.0,71.7925,0.2579,53.2772,3.584,14.8653,0.0094
bear,2026Q2,472.75,0.3385,160.0259,32.7143,127.3116,0.2693,0.5,0.0,127.8116,0.2279,98.6833,3.584,27.5344,0.0051
bear,2026Q3,543.7,0.35,190.295,36.9716,153.3234,0.282,0.5,0.0,153.8234,0.23,118.444,3.584,33.048,0.0042
bear,2026Q4,570.9,0.355,202.6695,37.6794,164.9901,0.289,0.5,0.0,165.4901,0.23,127.4274,3.584,35.5545,0.0039
bear,2027Q1,588.0,0.35,205.8,37.632,168.168,0.286,0.5,0.0,168.668,0.23,129.8744,3.584,36.2373,0.0038
bear,2027Q2,635.1,0.35,222.285,40.6464,181.6386,0.286,0.5,0.0,182.1386,0.23,140.2467,3.584,39.1313,0.0036
bear,2027Q3,679.5,0.35,237.825,43.488,194.337,0.286,0.5,0.0,194.837,0.23,150.0245,3.584,41.8595,0.0033
bear,2027Q4,720.3,0.35,252.105,46.0992,206.0058,0.286,0.5,0.0,206.5058,0.23,159.0095,3.584,44.3665,0.0031
bull,2026Q1,330.67,0.2942,97.2831,25.9907,71.2925,0.2156,0.5,0.0,71.7925,0.2579,53.2772,3.584,14.8653,0.0094
bull,2026Q2,472.75,0.3385,160.0259,32.7143,127.3116,0.2693,0.5,0.0,127.8116,0.2279,98.6833,3.584,27.5344,0.0051
bull,2026Q3,604.8,0.365,220.752,38.1024,182.6496,0.302,0.5,0.0,183.1496,0.23,141.0252,3.584,39.3485,0.0035
bull,2026Q4,665.3,0.38,252.814,39.918,212.896,0.32,0.5,0.0,213.396,0.23,164.3149,3.584,45.8468,0.003
bull,2027Q1,718.5,0.39,280.215,41.673,238.542,0.332,0.5,0.0,239.042,0.23,184.0623,3.584,51.3567,0.0027
bull,2027Q2,833.5,0.395,329.2325,48.343,280.8895,0.337,0.5,0.0,281.3895,0.23,216.6699,3.584,60.4548,0.0023
bull,2027Q3,950.2,0.4,380.08,55.1116,324.9684,0.342,0.5,0.0,325.4684,0.23,250.6107,3.584,69.9249,0.002
bull,2027Q4,1054.7,0.41,432.427,61.1726,371.2544,0.352,0.5,0.0,371.7544,0.23,286.2509,3.584,79.8691,0.0017
