year_month,quarter,revenue,gross_profit,op_income,net_income,eps
2026-01,2026Q1,35.536,7.5194,2.85,2.4987,0.3844
2026-02,2026Q1,36.6465,7.7544,2.939,2.5768,0.3964
2026-03,2026Q1,38.8675,8.2244,3.1172,2.7329,0.4205
2026-04,2026Q2,39.9872,10.4367,5.3703,5.3258,0.8194
2026-05,2026Q2,41.2368,10.7628,5.5381,5.4923,0.845
2026-06,2026Q2,43.736,11.4151,5.8737,5.8251,0.8962
2026-07,2026Q3,44.0,12.1,6.732,6.4359,0.9901
2026-08,2026Q3,45.375,12.4781,6.9424,6.6371,1.0211
2026-09,2026Q3,48.125,13.2344,7.3631,7.0393,1.083
2026-10,2026Q4,48.384,13.9104,8.2011,7.7767,1.1964
2026-11,2026Q4,49.896,14.3451,8.4574,8.0197,1.2338
2026-12,2026Q4,52.92,15.2145,8.9699,8.5058,1.3086
2027-01,2027Q1,49.12,14.4904,8.8416,8.2704,1.2724
2027-02,2027Q1,50.655,14.9432,9.1179,8.5288,1.3121
2027-03,2027Q1,53.725,15.8489,9.6705,9.0457,1.3916
2027-04,2027Q2,53.472,16.309,10.3201,9.4995,1.4615
2027-05,2027Q2,55.143,16.8186,10.6426,9.7963,1.5071
2027-06,2027Q2,58.485,17.8379,11.2876,10.3901,1.5985
2027-07,2027Q3,56.736,17.8718,11.6309,10.6697,1.6415
2027-08,2027Q3,58.509,18.4303,11.9943,11.0032,1.6928
2027-09,2027Q3,62.055,19.5473,12.7213,11.67,1.7954
2027-10,2027Q4,58.944,19.1568,12.7908,11.7054,1.8008
2027-11,2027Q4,60.786,19.7554,13.1906,12.0712,1.8571
2027-12,2027Q4,64.47,20.9527,13.99,12.8027,1.9697
2028-01,2028Q1,66.688,22.3405,15.2716,13.6108,2.094
2028-02,2028Q1,68.772,23.0386,15.7488,14.0361,2.1594
2028-03,2028Q1,72.94,24.4349,16.7033,14.8868,2.2903
2028-04,2028Q2,69.504,23.9789,16.7505,14.9018,2.2926
2028-05,2028Q2,71.676,24.7282,17.2739,15.3675,2.3642
2028-06,2028Q2,76.02,26.2269,18.3208,16.2989,2.5075
2028-07,2028Q3,72.352,25.685,18.3051,16.2589,2.5014
2028-08,2028Q3,74.613,26.4876,18.8771,16.767,2.5795
2028-09,2028Q3,79.135,28.0929,20.0212,17.7832,2.7359
2028-10,2028Q4,75.2,27.448,19.928,17.6757,2.7193
2028-11,2028Q4,77.55,28.3057,20.5507,18.2281,2.8043
2028-12,2028Q4,82.25,30.0212,21.7962,19.3328,2.9743
