scenario,quarter,revenue,gross_margin,gross_profit,opex,op_income,op_margin,non_operating,equity_income,pretax,tax_rate,net_income,shares,eps,nonop_dependency
base,2026Q1,111.05,0.2116,23.4982,14.592,8.9062,0.0802,1.0,0.0,9.9062,0.0919,7.8084,6.5,1.2013,0.1281
base,2026Q2,124.96,0.261,32.6146,15.8324,16.7821,0.1343,1.0,0.0,17.7821,0.0565,16.6432,6.5,2.5605,0.0601
base,2026Q3,137.5,0.275,37.8125,16.775,21.0375,0.153,1.0,0.0,22.0375,0.08,20.1123,6.5,3.0942,0.0497
base,2026Q4,151.2,0.2875,43.47,17.8416,25.6284,0.1695,1.0,0.0,26.6284,0.08,24.3021,6.5,3.7388,0.0411
base,2027Q1,153.5,0.295,45.2825,17.6525,27.63,0.18,1.0,0.0,28.63,0.09,25.8449,6.5,3.9761,0.0387
base,2027Q2,167.1,0.305,50.9655,18.7152,32.2503,0.193,1.0,0.0,33.2503,0.1,29.6859,6.5,4.5671,0.0337
base,2027Q3,177.3,0.315,55.8495,19.503,36.3465,0.205,1.0,0.0,37.3465,0.1,33.343,6.5,5.1297,0.03
base,2027Q4,184.2,0.325,59.865,19.8936,39.9714,0.217,1.0,0.0,40.9714,0.1,36.5793,6.5,5.6276,0.0273
base,2028Q1,208.4,0.335,69.814,22.0904,47.7236,0.229,1.0,0.0,48.7236,0.12,42.5338,6.5,6.5437,0.0235
base,2028Q2,217.2,0.345,74.934,22.5888,52.3452,0.241,1.0,0.0,53.3452,0.12,46.5682,6.5,7.1643,0.0215
base,2028Q3,226.1,0.355,80.2655,23.0622,57.2033,0.253,1.0,0.0,58.2033,0.12,50.8092,6.5,7.8168,0.0197
base,2028Q4,235.0,0.365,85.775,23.5,62.275,0.265,1.0,0.0,63.275,0.12,55.2365,6.5,8.4979,0.0181
bear,2026Q1,111.05,0.2116,23.4982,14.592,8.9062,0.0802,1.0,0.0,9.9062,0.0919,7.8084,6.5,1.2013,0.1281
bear,2026Q2,124.96,0.261,32.6146,15.8324,16.7821,0.1343,1.0,0.0,17.7821,0.0565,16.6432,6.5,2.5605,0.0601
bear,2026Q3,137.5,0.275,37.8125,16.775,21.0375,0.153,1.0,0.0,22.0375,0.08,20.1123,6.5,3.0942,0.0497
bear,2026Q4,139.104,0.2675,37.2103,17.8053,19.405,0.1395,1.0,0.0,20.405,0.08,18.6224,6.5,2.865,0.0537
bear,2027Q1,138.15,0.265,36.6098,17.2688,19.341,0.14,1.0,0.0,20.341,0.09,18.3622,6.5,2.825,0.0545
bear,2027Q2,150.39,0.275,41.3573,18.3476,23.0097,0.153,1.0,0.0,24.0097,0.1,21.4358,6.5,3.2978,0.0467
bear,2027Q3,159.57,0.285,45.4775,19.1484,26.3291,0.165,1.0,0.0,27.3291,0.1,24.3994,6.5,3.7538,0.041
bear,2027Q4,165.78,0.295,48.9051,19.562,29.3431,0.177,1.0,0.0,30.3431,0.1,27.0903,6.5,4.1677,0.0369
bear,2028Q1,187.56,0.305,57.2058,21.757,35.4488,0.189,1.0,0.0,36.4488,0.12,31.8184,6.5,4.8951,0.0314
bear,2028Q2,195.48,0.315,61.5762,22.2847,39.2915,0.201,1.0,0.0,40.2915,0.12,35.1729,6.5,5.4112,0.0284
bear,2028Q3,203.49,0.325,66.1342,22.7909,43.3434,0.213,1.0,0.0,44.3434,0.12,38.71,6.5,5.9554,0.0258
bear,2028Q4,211.5,0.335,70.8525,23.265,47.5875,0.225,1.0,0.0,48.5875,0.12,42.4149,6.5,6.5254,0.0236
bull,2026Q1,111.05,0.2116,23.4982,14.592,8.9062,0.0802,1.0,0.0,9.9062,0.0919,7.8084,6.5,1.2013,0.1281
bull,2026Q2,124.96,0.261,32.6146,15.8324,16.7821,0.1343,1.0,0.0,17.7821,0.0565,16.6432,6.5,2.5605,0.0601
bull,2026Q3,137.5,0.275,37.8125,16.775,21.0375,0.153,1.0,0.0,22.0375,0.08,20.1123,6.5,3.0942,0.0497
bull,2026Q4,151.2,0.3075,46.494,16.3296,30.1644,0.1995,1.0,0.0,31.1644,0.08,28.4419,6.5,4.3757,0.0352
bull,2027Q1,161.175,0.315,50.7701,16.9234,33.8468,0.21,1.0,0.0,34.8468,0.09,31.4569,6.5,4.8395,0.0318
bull,2027Q2,175.455,0.325,57.0229,17.8964,39.1265,0.223,1.0,0.0,40.1265,0.1,35.8249,6.5,5.5115,0.0279
bull,2027Q3,186.165,0.335,62.3653,18.6165,43.7488,0.235,1.0,0.0,44.7488,0.1,39.9517,6.5,6.1464,0.025
bull,2027Q4,193.41,0.345,66.7264,18.9542,47.7723,0.247,1.0,0.0,48.7723,0.1,43.5439,6.5,6.6991,0.023
bull,2028Q1,218.82,0.355,77.6811,21.0067,56.6744,0.259,1.0,0.0,57.6744,0.12,50.3474,6.5,7.7458,0.0199
bull,2028Q2,228.06,0.365,83.2419,21.4376,61.8043,0.271,1.0,0.0,62.8043,0.12,54.8256,6.5,8.4347,0.0182
bull,2028Q3,237.405,0.375,89.0269,21.8413,67.1856,0.283,1.0,0.0,68.1856,0.12,59.5233,6.5,9.1574,0.0168
bull,2028Q4,246.75,0.385,94.9988,22.2075,72.7912,0.295,1.0,0.0,73.7912,0.12,64.4168,6.5,9.9103,0.0155
