year_month,quarter,revenue,gross_profit,op_income,net_income,eps
2026-01,2026Q1,31.6364,3.6129,1.4679,1.0703,0.2945
2026-02,2026Q1,26.0589,2.9759,1.2091,0.8816,0.2425
2026-03,2026Q1,33.7394,3.853,1.5655,1.1415,0.314
2026-04,2026Q2,36.9046,8.1264,5.9158,4.094,1.1263
2026-05,2026Q2,38.0579,8.3803,6.1007,4.222,1.1615
2026-06,2026Q2,40.3644,8.8882,6.4704,4.4779,1.2319
2026-07,2026Q3,48.222,13.5022,10.8017,7.4214,2.0416
2026-08,2026Q3,49.7289,13.9241,11.1393,7.6533,2.1054
2026-09,2026Q3,52.7428,14.768,11.8144,8.1171,2.233
2026-10,2026Q4,59.8643,17.9593,14.6069,10.0127,2.7545
2026-11,2026Q4,61.7351,18.5205,15.0634,10.3256,2.8406
2026-12,2026Q4,65.4766,19.643,15.9763,10.9514,3.0128
2027-01,2027Q1,64.7283,20.7131,17.0883,11.7078,3.2209
2027-02,2027Q1,53.3167,17.0613,14.0756,9.6437,2.653
2027-03,2027Q1,69.031,22.0899,18.2242,12.4861,3.435
2027-04,2027Q2,61.3993,19.6478,16.2094,11.104,3.0547
2027-05,2027Q2,63.318,20.2618,16.716,11.451,3.1502
2027-06,2027Q2,67.1555,21.4898,17.729,12.145,3.3411
2027-07,2027Q3,78.942,25.2614,20.8407,14.2579,3.9224
2027-08,2027Q3,81.4089,26.0508,21.4919,14.7034,4.045
2027-09,2027Q3,86.3428,27.6297,22.7945,15.5946,4.2901
2027-10,2027Q4,90.4543,28.9454,23.8799,16.3276,4.4918
2027-11,2027Q4,93.281,29.8499,24.6262,16.8379,4.6321
2027-12,2027Q4,98.9344,31.659,26.1187,17.8583,4.9129
