scenario,quarter,revenue,gross_margin,gross_profit,opex,op_income,op_margin,non_operating,equity_income,pretax,tax_rate,net_income,shares,eps,nonop_dependency
base,2026Q1,91.4347,0.1142,10.4418,6.1993,4.2426,0.0464,0.3,0.0,4.5426,0.319,3.0935,3.635,0.851,0.097
base,2026Q2,115.3269,0.2202,25.395,6.9081,18.4869,0.1603,0.3,0.0,18.7869,0.319,12.7939,3.635,3.5196,0.0234
base,2026Q3,150.6937,0.28,42.1943,8.4389,33.7554,0.224,0.3,0.0,34.0554,0.319,23.1917,3.635,6.3801,0.0129
base,2026Q4,187.076,0.3,56.1228,10.4763,45.6465,0.244,0.3,0.0,45.9465,0.319,31.2896,3.635,8.6079,0.0096
base,2027Q1,187.076,0.32,59.8643,10.4763,49.3881,0.264,0.3,0.0,49.6881,0.319,33.8376,3.635,9.3088,0.0089
base,2027Q2,191.8728,0.32,61.3993,10.7449,50.6544,0.264,0.3,0.0,50.9544,0.319,34.7,3.635,9.5461,0.0086
base,2027Q3,246.6936,0.32,78.942,13.8148,65.1271,0.264,0.3,0.0,65.4271,0.319,44.5559,3.635,12.2575,0.0067
base,2027Q4,282.6698,0.32,90.4543,15.8295,74.6248,0.264,0.3,0.0,74.9248,0.319,51.0238,3.635,14.0368,0.0059
bear,2026Q1,91.4347,0.1142,10.4418,6.1993,4.2426,0.0464,0.3,0.0,4.5426,0.319,3.0935,3.635,0.851,0.097
bear,2026Q2,115.3269,0.2202,25.395,6.9081,18.4869,0.1603,0.3,0.0,18.7869,0.319,12.7939,3.635,3.5196,0.0234
bear,2026Q3,150.6937,0.28,42.1943,8.4389,33.7554,0.224,0.3,0.0,34.0554,0.319,23.1917,3.635,6.3801,0.0129
bear,2026Q4,173.2185,0.3,51.9656,9.7002,42.2653,0.244,0.3,0.0,42.5653,0.319,28.987,3.635,7.9744,0.0103
bear,2027Q1,159.361,0.26,41.4339,8.9242,32.5096,0.204,0.3,0.0,32.8096,0.319,22.3434,3.635,6.1467,0.0134
bear,2027Q2,163.4472,0.26,42.4963,9.153,33.3432,0.204,0.3,0.0,33.6432,0.319,22.911,3.635,6.3029,0.0131
bear,2027Q3,186.7968,0.26,48.5672,10.4606,38.1065,0.204,0.3,0.0,38.4065,0.319,26.1549,3.635,7.1953,0.0115
bear,2027Q4,214.038,0.26,55.6499,11.9861,43.6638,0.204,0.3,0.0,43.9638,0.319,29.9393,3.635,8.2364,0.01
bull,2026Q1,91.4347,0.1142,10.4418,6.1993,4.2426,0.0464,0.3,0.0,4.5426,0.319,3.0935,3.635,0.851,0.097
bull,2026Q2,115.3269,0.2202,25.395,6.9081,18.4869,0.1603,0.3,0.0,18.7869,0.319,12.7939,3.635,3.5196,0.0234
bull,2026Q3,150.6937,0.28,42.1943,8.4389,33.7554,0.224,0.3,0.0,34.0554,0.319,23.1917,3.635,6.3801,0.0129
bull,2026Q4,203.587,0.3,61.0761,11.4009,49.6752,0.244,0.3,0.0,49.9752,0.319,34.0331,3.635,9.3626,0.0088
bull,2027Q1,203.587,0.38,77.3631,11.4009,65.9622,0.324,0.3,0.0,66.2622,0.319,45.1246,3.635,12.4139,0.0066
bull,2027Q2,208.8072,0.38,79.3467,11.6932,67.6535,0.324,0.3,0.0,67.9535,0.319,46.2764,3.635,12.7308,0.0065
bull,2027Q3,274.4323,0.38,104.2843,15.3682,88.9161,0.324,0.3,0.0,89.2161,0.319,60.7561,3.635,16.7142,0.0049
bull,2027Q4,314.4537,0.38,119.4924,17.6094,101.883,0.324,0.3,0.0,102.183,0.319,69.5866,3.635,19.1435,0.0043
