year_month,quarter,revenue,gross_profit,op_income,net_income,eps
2026-01,2026Q1,35.2895,8.8753,6.4156,4.5497,1.5582
2026-02,2026Q1,27.4474,6.903,4.9899,3.5387,1.2119
2026-03,2026Q1,37.803,9.5075,6.8726,4.8737,1.6692
2026-04,2026Q2,47.1933,14.0258,11.0857,7.7293,2.6472
2026-05,2026Q2,47.1933,14.0258,11.0857,7.7293,2.6472
2026-06,2026Q2,48.6234,14.4509,11.4216,7.9635,2.7274
2026-07,2026Q3,59.0742,18.0176,14.4732,10.0444,3.4401
2026-08,2026Q3,59.0742,18.0176,14.4732,10.0444,3.4401
2026-09,2026Q3,59.2516,18.0717,14.5166,10.0746,3.4504
2026-10,2026Q4,63.228,19.6007,15.9335,11.0403,3.7812
2026-11,2026Q4,63.228,19.6007,15.9335,11.0403,3.7812
2026-12,2026Q4,65.144,20.1946,16.4163,11.3749,3.8958
2027-01,2027Q1,66.396,20.7819,17.0638,11.8123,4.0456
2027-02,2027Q1,66.396,20.7819,17.0638,11.8123,4.0456
2027-03,2027Q1,68.408,21.4117,17.5809,12.1703,4.1682
2027-04,2027Q2,76.362,24.054,19.7778,13.666,4.6805
2027-05,2027Q2,76.362,24.054,19.7778,13.666,4.6805
2027-06,2027Q2,78.676,24.7829,20.3771,14.0801,4.8223
2027-07,2027Q3,83.985,26.5393,21.8361,15.0718,5.1619
2027-08,2027Q3,83.985,26.5393,21.8361,15.0718,5.1619
2027-09,2027Q3,86.53,27.3435,22.4978,15.5286,5.3184
2027-10,2027Q4,90.717,28.6847,23.6046,16.2797,5.5756
2027-11,2027Q4,90.717,28.6847,23.6046,16.2797,5.5756
2027-12,2027Q4,93.466,29.5539,24.3199,16.773,5.7446
