scenario,quarter,revenue,gross_margin,gross_profit,opex,op_income,op_margin,non_operating,equity_income,pretax,tax_rate,net_income,shares,eps,nonop_dependency
base,2026Q1,100.54,0.2515,25.2858,7.0076,18.2782,0.1818,0.7,0.0,18.9782,0.317,12.9621,2.9198,4.4394,0.054
base,2026Q2,143.01,0.2972,42.5026,8.9095,33.593,0.2349,0.7,0.0,34.293,0.317,23.4222,2.9198,8.0218,0.0299
base,2026Q3,177.4,0.305,54.107,10.644,43.463,0.245,0.7,0.0,44.163,0.317,30.1633,2.9198,10.3306,0.0232
base,2026Q4,191.6,0.31,59.396,11.1128,48.2832,0.252,0.7,0.0,48.9832,0.317,33.4555,2.9198,11.4582,0.0209
base,2027Q1,201.2,0.313,62.9756,11.2672,51.7084,0.257,0.7,0.0,52.4084,0.317,35.7949,2.9198,12.2594,0.0196
base,2027Q2,231.4,0.315,72.891,12.9584,59.9326,0.259,0.7,0.0,60.6326,0.317,41.4121,2.9198,14.1832,0.0169
base,2027Q3,254.5,0.316,80.422,14.252,66.17,0.26,0.7,0.0,66.87,0.317,45.6722,2.9198,15.6422,0.0153
base,2027Q4,274.9,0.3162,86.9234,15.3944,71.529,0.2602,0.7,0.0,72.229,0.317,49.3324,2.9198,16.8958,0.0142
bear,2026Q1,100.54,0.2515,25.2858,7.0076,18.2782,0.1818,0.7,0.0,18.9782,0.317,12.9621,2.9198,4.4394,0.054
bear,2026Q2,143.01,0.2972,42.5026,8.9095,33.593,0.2349,0.7,0.0,34.293,0.317,23.4222,2.9198,8.0218,0.0299
bear,2026Q3,167.3,0.297,49.6881,10.5399,39.1482,0.234,0.7,0.0,39.8482,0.317,27.2163,2.9198,9.3213,0.0257
bear,2026Q4,177.3,0.295,52.3035,10.9926,41.3109,0.233,0.7,0.0,42.0109,0.317,28.6934,2.9198,9.8272,0.0244
bear,2027Q1,181.9,0.29,52.751,10.914,41.837,0.23,0.7,0.0,42.537,0.317,29.0528,2.9198,9.9503,0.0241
bear,2027Q2,194.7,0.29,56.463,11.682,44.781,0.23,0.7,0.0,45.481,0.317,31.0635,2.9198,10.6389,0.0225
bear,2027Q3,204.4,0.285,58.254,12.264,45.99,0.225,0.7,0.0,46.69,0.317,31.8893,2.9198,10.9217,0.022
bear,2027Q4,210.6,0.285,60.021,12.636,47.385,0.225,0.7,0.0,48.085,0.317,32.8421,2.9198,11.248,0.0213
bull,2026Q1,100.54,0.2515,25.2858,7.0076,18.2782,0.1818,0.7,0.0,18.9782,0.317,12.9621,2.9198,4.4394,0.054
bull,2026Q2,143.01,0.2972,42.5026,8.9095,33.593,0.2349,0.7,0.0,34.293,0.317,23.4222,2.9198,8.0218,0.0299
bull,2026Q3,180.2,0.338,60.9076,10.4516,50.456,0.28,0.7,0.0,51.156,0.317,34.9395,2.9198,11.9664,0.02
bull,2026Q4,205.4,0.35,71.89,11.5024,60.3876,0.294,0.7,0.0,61.0876,0.317,41.7228,2.9198,14.2896,0.0168
bull,2027Q1,226.0,0.365,82.49,12.204,70.286,0.311,0.7,0.0,70.986,0.317,48.4834,2.9198,16.6051,0.0144
bull,2027Q2,271.2,0.375,101.7,14.6448,87.0552,0.321,0.7,0.0,87.7552,0.317,59.9368,2.9198,20.5277,0.0117
bull,2027Q3,311.9,0.385,120.0815,16.8426,103.2389,0.331,0.7,0.0,103.9389,0.317,70.9903,2.9198,24.3134,0.0099
bull,2027Q4,355.6,0.39,138.684,19.2024,119.4816,0.336,0.7,0.0,120.1816,0.317,82.084,2.9198,28.1129,0.0085
