year_month,quarter,revenue,gross_profit,op_income,net_income,eps
2026-01,2026Q1,14.0582,4.5408,3.7114,3.0245,4.4044
2026-02,2026Q1,11.7989,3.811,3.1149,2.5384,3.6965
2026-03,2026Q1,15.9829,5.1625,4.2195,3.4385,5.0073
2026-04,2026Q2,12.3288,4.1918,3.4397,2.8053,4.0853
2026-05,2026Q2,12.3288,4.1918,3.4397,2.8053,4.0853
2026-06,2026Q2,12.7024,4.3188,3.544,2.8904,4.2091
2026-07,2026Q3,13.608,5.1565,4.34,3.5284,5.1382
2026-08,2026Q3,13.86,5.252,4.4204,3.5938,5.2334
2026-09,2026Q3,14.532,5.5066,4.6347,3.768,5.4871
2026-10,2026Q4,16.764,6.3413,5.3354,4.3295,6.3048
2026-11,2026Q4,16.764,6.3413,5.3354,4.3295,6.3048
2026-12,2026Q4,17.272,6.5334,5.4971,4.4607,6.4958
2027-01,2027Q1,17.64,6.7838,5.7254,4.6438,6.7625
2027-02,2027Q1,14.805,5.6936,4.8053,3.8975,5.6756
2027-03,2027Q1,20.055,7.7126,6.5093,5.2795,7.6883
2027-04,2027Q2,19.371,7.3966,6.2344,5.0522,7.3572
2027-05,2027Q2,19.371,7.3966,6.2344,5.0522,7.3572
2027-06,2027Q2,19.958,7.6208,6.4233,5.2053,7.5802
2027-07,2027Q3,20.724,8.1266,6.8831,5.5738,8.1169
2027-08,2027Q3,20.724,8.1266,6.8831,5.5738,8.1169
2027-09,2027Q3,21.352,8.3728,7.0917,5.7427,8.3628
2027-10,2027Q4,23.43,9.0816,7.6758,6.2111,9.0449
2027-11,2027Q4,23.43,9.0816,7.6758,6.2111,9.0449
2027-12,2027Q4,24.14,9.3568,7.9084,6.3994,9.319
