scenario,quarter,revenue,gross_margin,gross_profit,opex,op_income,op_margin,non_operating,equity_income,pretax,tax_rate,net_income,shares,eps,nonop_dependency,seg_伺服器,seg_摺疊機,seg_NB及其他
base,2026Q1,41.84,0.323,13.5143,2.4686,11.0458,0.264,0.15,0.0,11.1958,0.196,9.0014,0.6867,13.1082,0.0167,23.6,15.52,2.72
base,2026Q2,37.36,0.34,12.7024,2.279,10.4234,0.279,0.15,0.0,10.5734,0.196,8.501,0.6867,12.3796,0.0176,20.53,14.32,2.51
base,2026Q3,42.0,0.3789,15.915,2.52,13.395,0.3189,0.15,0.0,13.545,0.196,10.8902,0.6867,15.8587,0.0138,36.5,3.5,2.0
base,2026Q4,50.8,0.3783,19.216,3.048,16.168,0.3183,0.15,0.0,16.318,0.196,13.1197,0.6867,19.1054,0.0114,44.0,4.0,2.8
base,2027Q1,52.5,0.3846,20.19,3.15,17.04,0.3246,0.15,0.0,17.19,0.196,13.8208,0.6867,20.1263,0.0109,42.0,8.0,2.5
base,2027Q2,58.7,0.3818,22.414,3.522,18.892,0.3218,0.15,0.0,19.042,0.196,15.3098,0.6867,22.2947,0.0098,46.0,10.0,2.7
base,2027Q3,62.8,0.3921,24.626,3.768,20.858,0.3321,0.15,0.0,21.008,0.196,16.8904,0.6867,24.5965,0.0089,53.0,7.0,2.8
base,2027Q4,71.0,0.3876,27.52,4.26,23.26,0.3276,0.15,0.0,23.41,0.196,18.8216,0.6867,27.4088,0.008,58.0,10.0,3.0
bear,2026Q1,41.84,0.323,13.5143,2.4686,11.0458,0.264,0.15,0.0,11.1958,0.196,9.0014,0.6867,13.1082,0.0167,23.6,15.52,2.72
bear,2026Q2,37.36,0.34,12.7024,2.279,10.4234,0.279,0.15,0.0,10.5734,0.196,8.501,0.6867,12.3796,0.0176,20.53,14.32,2.51
bear,2026Q3,42.0,0.3789,15.915,2.52,13.395,0.3189,0.15,0.0,13.545,0.196,10.8902,0.6867,15.8587,0.0138,36.5,3.5,2.0
bear,2026Q4,50.8,0.3783,19.216,3.048,16.168,0.3183,0.15,0.0,16.318,0.196,13.1197,0.6867,19.1054,0.0114,44.0,4.0,2.8
bear,2027Q1,42.5,0.351,14.918,2.55,12.368,0.291,0.15,0.0,12.518,0.196,10.0645,0.6867,14.6563,0.0149,33.6,6.4,2.5
bear,2027Q2,47.5,0.349,16.578,2.85,13.728,0.289,0.15,0.0,13.878,0.196,11.1579,0.6867,16.2486,0.0134,36.8,8.0,2.7
bear,2027Q3,50.8,0.3569,18.128,3.048,15.08,0.2969,0.15,0.0,15.23,0.196,12.2449,0.6867,17.8315,0.0122,42.4,5.6,2.8
bear,2027Q4,57.4,0.3535,20.292,3.444,16.848,0.2935,0.15,0.0,16.998,0.196,13.6664,0.6867,19.9015,0.011,46.4,8.0,3.0
bull,2026Q1,41.84,0.323,13.5143,2.4686,11.0458,0.264,0.15,0.0,11.1958,0.196,9.0014,0.6867,13.1082,0.0167,23.6,15.52,2.72
bull,2026Q2,37.36,0.34,12.7024,2.279,10.4234,0.279,0.15,0.0,10.5734,0.196,8.501,0.6867,12.3796,0.0176,20.53,14.32,2.51
bull,2026Q3,42.0,0.3789,15.915,2.52,13.395,0.3189,0.15,0.0,13.545,0.196,10.8902,0.6867,15.8587,0.0138,36.5,3.5,2.0
bull,2026Q4,50.8,0.3783,19.216,3.048,16.168,0.3183,0.15,0.0,16.318,0.196,13.1197,0.6867,19.1054,0.0114,44.0,4.0,2.8
bull,2027Q1,63.0,0.4071,25.65,3.78,21.87,0.3471,0.15,0.0,22.02,0.196,17.7041,0.6867,25.7814,0.0085,52.5,8.0,2.5
bull,2027Q2,70.2,0.4045,28.394,4.212,24.182,0.3445,0.15,0.0,24.332,0.196,19.5629,0.6867,28.4883,0.0077,57.5,10.0,2.7
bull,2027Q3,76.05,0.4144,31.516,4.563,26.953,0.3544,0.15,0.0,27.103,0.196,21.7908,0.6867,31.7327,0.0069,66.25,7.0,2.8
bull,2027Q4,85.5,0.4101,35.06,5.13,29.93,0.3501,0.15,0.0,30.08,0.196,24.1843,0.6867,35.2182,0.0062,72.5,10.0,3.0
