whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
高大戶,3105,穩懋,股票期貨,104000,436.22,495.00,45366880,51480000,6113600,13.48
高大戶,2303,聯電,股票期貨,236000,143.95,158.50,33972200,37406000,3433600,10.11
高大戶,6182,合晶,股票期貨,180000,103.54,116.00,18637200,20880000,2242600,12.03
高大戶,2449,京元電,股票期貨,66000,294.51,307.00,19437660,20262000,824200,4.24
高大戶,2330,台積電,股票期貨,3500,2395.74,2495.00,8385090,8732500,371910,4.44
高大戶,3653,健策,股票期貨,1500,5869.99,5800.00,8804985,8700000,-104985,-1.19
高大戶,8046,南電,股票期貨,6000,1061.49,1071.00,6368940,6426000,57060,0.90
高大戶,2455,全新,股票期貨,6000,519.29,575.00,3115740,3450000,334260,10.73
高大戶,3189,景碩,股票期貨,4000,806.03,839.00,3224120,3356000,131880,4.09
高大戶,8358,金居,股票期貨,6000,494.51,493.00,2967060,2958000,-9080,-0.31
高大戶,2454,聯發科,股票期貨,500,4618.05,5065.00,2309025,2532500,223475,9.68
高大戶,6488,環球晶,股票期貨,2000,897.98,931.00,1795960,1862000,66045,3.68
高大戶,2388,威盛,股票期貨,26000,73.93,69.50,1922180,1807000,-115180,-5.99
高大戶,8039,台虹,股票期貨,6000,265.23,267.00,1591380,1602000,10600,0.67
高大戶,3665,貿聯,股票期貨,100,1958.00,2297.00,195800,229700,33900,17.31
